"Utility ID","Utility Name","Plant Code","Plant Name","State","County","Generator ID","Status","Technology","Prime Mover","Sector Name","Sector","Nameplate Capacity (MW)","Summer Capacity (MW)","Winter Capacity (MW)","Operating Month","Operating Year","Nameplate Energy Capacity (MWh)","Maximum Charge Rate (MW)","Maximum Discharge Rate (MW)","Storage Technology 1","Storage Technology 2","Storage Technology 3","Storage Technology 4","Nameplate Reactive Power Rating","Storage Enclosure Type","Arbitrage","Frequency Regulation","Load Following","Ramping / Spinning Reserve","Co-Located Renewable Firming","Transmission and Distribution Deferral","System Peak Shaving","Load Management","Voltage or Reactive Power Support","Backup Power","Excess Wind and Solar Generation"
14328,"Pacific Gas & Electric Co",59256,"Vaca Dixon Battery Storage System","CA","Solano","BAT1","OP","Batteries","BA","Electric Utility",1,2,2,2,1,2013,14,2,2,"NAB",NA,NA,NA,2.5,"CS","Y","Y",NA,"Y",NA,NA,NA,NA,NA,NA,NA
14328,"Pacific Gas & Electric Co",59257,"Yerba Buena","CA","Santa Clara","YB1","OP","Batteries","BA","Electric Utility",1,4,4,4,11,2013,28,4,4,"NAB",NA,NA,NA,5,"CS","Y","Y",NA,"Y",NA,NA,NA,NA,NA,"Y",NA
17609,"Southern California Edison Co",59661,"Tehachapi Energy Storage Project","CA","Kern","TSP1","OP","Batteries","BA","Electric Utility",1,8,8,8,4,2016,32,8,8,"LIB",NA,NA,NA,4,"BL","Y","Y","Y",NA,"Y",NA,"Y",NA,"Y",NA,"Y"
10000,"Kansas City Power & Light Co",59772,"KCP&L SmartGrid Innovation Park","MO","Jackson","1","SB","Batteries","BA","Electric Utility",1,1,1,1,6,2012,1,1,1,"LIB",NA,NA,NA,1.3,"CS",NA,NA,NA,NA,NA,NA,"Y",NA,NA,NA,NA
59712,"AES Tait LLC",59949,"AES Warrior Run Energy Storage Project","MD","Allegany","BESS1","OP","Batteries","BA","IPP Non-CHP",2,11,11,11,12,2015,3.7,10,10,"LIB",NA,NA,NA,10,"BL",NA,"Y",NA,NA,NA,NA,NA,NA,NA,NA,NA
49893,"Invenergy Services LLC",59957,"Grand Ridge Battery Projects","IL","LaSalle","GIVB","OP","Batteries","BA","IPP Non-CHP",2,1.5,1.5,1.5,12,2013,1,1.5,1.5,"LIB",NA,NA,NA,NA,"CT",NA,"Y",NA,NA,NA,NA,NA,NA,NA,NA,NA
49893,"Invenergy Services LLC",59957,"Grand Ridge Battery Projects","IL","LaSalle","GRES","OP","Batteries","BA","IPP Non-CHP",2,31.5,31.5,31.5,3,2015,12.5,31.5,31.5,"LIB",NA,NA,NA,0.5,"CT",NA,"Y",NA,NA,NA,NA,NA,NA,NA,NA,NA
59718,"West Chicago Battery Storage LLC",59959,"Elwood Energy Storage Center","IL","DuPage","WCBS","OP","Batteries","BA","IPP Non-CHP",2,19.8,19.8,19.8,10,2015,34.7,35.2,36.2,"LIB",NA,NA,NA,0,"CS","N","Y",NA,NA,NA,NA,NA,NA,NA,NA,NA
59717,"Joliet Battery Storage LLC",59960,"Jake Energy Storage Center","IL","Will","JBS","OP","Batteries","BA","IPP Non-CHP",2,19.8,19.8,19.8,9,2015,34.7,35.2,36.2,"LIB",NA,NA,NA,0,"CS",NA,"Y",NA,NA,NA,NA,NA,NA,NA,NA,NA
733,"Appalachian Power Co",59995,"AEP Milton NaS","WV","Cabell","1","OP","Batteries","BA","Electric Utility",1,2,2,2,11,2009,2,2,2,"NAB",NA,NA,NA,2,"CS",NA,NA,NA,NA,NA,NA,NA,"Y",NA,NA,NA
17470,"PUD 1 of Snohomish County",60016,"MESA 1","WA","Snohomish","A","OP","Batteries","BA","Electric Utility",1,1,1,1,7,2015,0.5,1,1,"LIB",NA,NA,NA,0.9,"CS","Y",NA,NA,NA,NA,NA,"Y","Y",NA,NA,NA
17470,"PUD 1 of Snohomish County",60016,"MESA 1","WA","Snohomish","B","OP","Batteries","BA","Electric Utility",1,1,1,1,2,2016,0.5,1,1,"LIB",NA,NA,NA,0.9,"CS","Y",NA,NA,NA,NA,NA,"Y","Y",NA,NA,NA
60947,"Tesla Inc.",60231,"Genentech-Oceanside","CA","San Diego","BA1","OP","Batteries","BA","IPP Non-CHP",2,2,2,2,4,2016,2,1,1,"LIB",NA,NA,NA,1,"CS",NA,NA,NA,NA,NA,NA,NA,"Y",NA,"Y","Y"
60094,"Clinton Battery Utility, LLC",60297,"Clinton Battery","OH","Clinton","1","OP","Batteries","BA","IPP Non-CHP",2,10,10,10,10,2016,4.1,10,10,"LIB",NA,NA,NA,3.2,"CS",NA,"Y",NA,NA,NA,NA,NA,NA,NA,NA,NA
59209,"Half Moon Ventures, LLC",60299,"HMV Minster Energy Storage System","OH","Auglaize","MIN02","OP","Batteries","BA","IPP Non-CHP",2,7,7,7,3,2016,7,7,7,"LIB",NA,NA,NA,5.3,"CS",NA,"Y",NA,NA,NA,NA,NA,"Y","Y",NA,NA
